cik,company_name,form_type,filing_date,filename,accession_number
0000100030,TRW INC,SC 13G/A,1994-02-07,edgar/data/100030/0000950152-94-000075.txt,0000950152-94-000075
0000100030,TRW INC,SC 13G/A,1994-02-10,edgar/data/100030/0000950150-94-000279.txt,0000950150-94-000279
0000100030,TRW INC,SC 13G/A,1994-02-14,edgar/data/100030/0000009749-94-000047.txt,0000009749-94-000047
0000100063,TSI INC /MN/,SC 13G/A,1994-02-14,edgar/data/100063/0000759277-94-000089.txt,0000759277-94-000089
0000100063,TSI INC /MN/,SC 13G,1994-02-10,edgar/data/100063/0000912057-94-000316.txt,0000912057-94-000316
0000100122,TUCSON ELECTRIC POWER CO,SC 13D,1994-03-23,edgar/data/100122/0000100122-94-000010.txt,0000100122-94-000010
0000100122,TUCSON ELECTRIC POWER CO,SC 13D,1994-03-24,edgar/data/100122/0000100122-94-000012.txt,0000100122-94-000012
0000100166,TULTEX CORP,S-8,1994-02-11,edgar/data/100166/0000950118-94-000015.txt,0000950118-94-000015
0000100240,TURNER BROADCASTING SYSTEM INC,10-K,1994-03-31,edgar/data/100240/0000950144-94-000787.txt,0000950144-94-000787
0000100240,TURNER BROADCASTING SYSTEM INC,424B2,1994-01-31,edgar/data/100240/0000950144-94-000139.txt,0000950144-94-000139
0000100240,TURNER BROADCASTING SYSTEM INC,424B3,1994-01-25,edgar/data/100240/0000950144-94-000107.txt,0000950144-94-000107
0000100240,TURNER BROADCASTING SYSTEM INC,8-K/A,1994-02-03,edgar/data/100240/0000950144-94-000225.txt,0000950144-94-000225
0000100240,TURNER BROADCASTING SYSTEM INC,8-K,1994-01-24,edgar/data/100240/0000950144-94-000103.txt,0000950144-94-000103
0000100240,TURNER BROADCASTING SYSTEM INC,8-K,1994-02-02,edgar/data/100240/0000950144-94-000177.txt,0000950144-94-000177
0000100240,TURNER BROADCASTING SYSTEM INC,8-K,1994-02-07,edgar/data/100240/0000950144-94-000277.txt,0000950144-94-000277
0000100240,TURNER BROADCASTING SYSTEM INC,S-8,1994-02-04,edgar/data/100240/0000950144-94-000261.txt,0000950144-94-000261
0000100240,TURNER BROADCASTING SYSTEM INC,SC 13G/A,1994-02-11,edgar/data/100240/0000950150-94-000326.txt,0000950150-94-000326
0000100240,TURNER BROADCASTING SYSTEM INC,SC 13G/A,1994-02-14,edgar/data/100240/0000950144-94-000390.txt,0000950144-94-000390
0000100240,TURNER BROADCASTING SYSTEM INC,SC 13G/A,1994-02-14,edgar/data/100240/0000950144-94-000391.txt,0000950144-94-000391
0000100240,TURNER BROADCASTING SYSTEM INC,SC 13G/A,1994-03-01,edgar/data/100240/0000950150-94-000362.txt,0000950150-94-000362
0000100378,TWIN DISC INC,SC 13G,1994-02-14,edgar/data/100378/0000315066-94-000603.txt,0000315066-94-000603
0000100441,TYCO INTERNATIONAL LTD,SC 13D/A,1994-03-28,edgar/data/100441/0000950172-94-000049.txt,0000950172-94-000049
0000100493,TYSON FOODS INC,10-Q,1994-02-15,edgar/data/100493/0000100493-94-000005.txt,0000100493-94-000005
0000100493,TYSON FOODS INC,PREC14A,1994-03-15,edgar/data/100493/0000912057-94-000928.txt,0000912057-94-000928
0000100493,TYSON FOODS INC,SC 13D,1994-03-04,edgar/data/100493/0000100493-94-000006.txt,0000100493-94-000006
0000100493,TYSON FOODS INC,SC 14D1/A,1994-03-11,edgar/data/100493/0000912057-94-000870.txt,0000912057-94-000870
0000100493,TYSON FOODS INC,SC 14D1/A,1994-03-22,edgar/data/100493/0000912057-94-001005.txt,0000912057-94-001005
0000100493,TYSON FOODS INC,SC 14D1/A,1994-03-25,edgar/data/100493/0000912057-94-001045.txt,0000912057-94-001045
0000100493,TYSON FOODS INC,SC 14D1,1994-03-09,edgar/data/100493/0000912057-94-000830.txt,0000912057-94-000830
0000100517,UAL CORP /DE/,SC 13G/A,1994-02-14,edgar/data/100517/0000315066-94-000604.txt,0000315066-94-000604
